date,discharge,month,year,average_percentage,percentile,percentile_range
1989-06-30,0.415,6,1989,-0.994,0.024,Low flow
1989-07-31,0.627,7,1989,-0.993,0.024,Low flow
1989-08-31,3.046,8,1989,-0.958,0.024,Low flow
1989-09-30,2.965,9,1989,-0.971,0.024,Low flow
1989-10-31,0.838,10,1989,-0.987,0.023,Low flow
1989-11-30,27.573,11,1989,-0.371,0.610,Normal range
1989-12-31,2.879,12,1989,-0.871,0.429,Normal range
1990-01-31,0.192,1,1990,-0.987,0.049,Low flow
1990-02-28,240.067,2,1990,8.277,0.952,High flow
1990-03-31,247.667,3,1990,12.643,0.975,High flow
1990-04-30,209.296,4,1990,2.972,0.900,High flow
1990-05-31,35.886,5,1990,-0.437,0.634,Normal range
1990-06-30,15.618,6,1990,-0.777,0.195,Below normal
1990-07-31,7.846,7,1990,-0.915,0.122,Low flow
1990-08-31,6.708,8,1990,-0.907,0.122,Low flow
1990-09-30,43.670,9,1990,-0.572,0.286,Normal range
1990-10-31,36.502,10,1990,-0.452,0.465,Normal range
1990-11-30,87.524,11,1990,0.996,0.829,Above normal
1990-12-31,43.016,12,1990,0.930,0.857,Above normal
1991-01-31,2.000,1,1991,-0.867,0.415,Normal range
1991-02-28,0.453,2,1991,-0.983,0.095,Low flow
1991-03-31,0.896,3,1991,-0.951,0.200,Below normal
1991-04-30,6.863,4,1991,-0.870,0.450,Normal range
1991-05-31,9.350,5,1991,-0.853,0.415,Normal range
1991-06-30,125.318,6,1991,0.788,0.780,Above normal
1991-07-31,231.567,7,1991,1.503,0.878,High flow
1991-08-31,32.645,8,1991,-0.549,0.293,Normal range
1991-09-30,18.896,9,1991,-0.815,0.095,Low flow
1991-10-31,110.715,10,1991,0.662,0.767,Above normal
1991-11-30,43.543,11,1991,-0.007,0.683,Normal range
1991-12-31,67.149,12,1991,2.012,0.905,High flow
1992-01-31,5.434,1,1992,-0.638,0.561,Normal range
1992-02-29,34.413,2,1992,0.330,0.738,Above normal
1992-03-31,27.406,3,1992,0.510,0.800,Above normal
1992-04-30,68.074,4,1992,0.292,0.800,Above normal
1992-05-31,83.860,5,1992,0.315,0.732,Above normal
1992-06-30,232.882,6,1992,2.323,0.951,High flow
1992-07-31,100.202,7,1992,0.083,0.561,Normal range
1992-08-31,40.437,8,1992,-0.441,0.366,Normal range
1992-09-30,61.630,9,1992,-0.396,0.405,Normal range
1992-10-31,37.061,10,1992,-0.444,0.488,Normal range
1992-11-30,4.645,11,1992,-0.894,0.220,Below normal
1992-12-31,5.801,12,1992,-0.740,0.571,Normal range
1993-01-31,7.295,1,1993,-0.514,0.659,Normal range
1993-02-28,25.083,2,1993,-0.031,0.714,Normal range
1993-03-31,2.322,3,1993,-0.872,0.350,Normal range
1993-04-30,1.026,4,1993,-0.981,0.200,Below normal
1993-05-31,99.582,5,1993,0.562,0.805,Above normal
1993-06-30,41.935,6,1993,-0.402,0.463,Normal range
1993-07-31,35.113,7,1993,-0.620,0.341,Normal range
1993-08-31,47.522,8,1993,-0.344,0.415,Normal range
1993-09-30,44.630,9,1993,-0.563,0.310,Normal range
1993-10-31,45.797,10,1993,-0.313,0.512,Normal range
1993-11-30,54.592,11,1993,0.245,0.756,Above normal
1993-12-31,71.982,12,1993,2.229,0.929,High flow
1994-01-31,7.249,1,1994,-0.517,0.634,Normal range
1994-02-28,39.751,2,1994,0.536,0.786,Above normal
1994-03-31,7.509,3,1994,-0.586,0.500,Normal range
1994-04-30,15.359,4,1994,-0.709,0.525,Normal range
1994-05-31,23.306,5,1994,-0.635,0.512,Normal range
1994-06-30,115.804,6,1994,0.652,0.756,Above normal
1994-07-31,83.608,7,1994,-0.096,0.488,Normal range
1994-08-31,192.287,8,1994,1.656,0.927,High flow
1994-09-30,82.669,9,1994,-0.190,0.500,Normal range
1994-10-31,67.182,10,1994,0.008,0.674,Normal range
1994-11-30,45.431,11,1994,0.036,0.732,Above normal
1994-12-31,16.474,12,1994,-0.261,0.762,Above normal
1995-01-31,,1,1995,,,
1995-02-28,,2,1995,,,
1995-03-31,,3,1995,,,
1995-04-30,,4,1995,,,
1995-05-31,,5,1995,,,
