date,discharge,month,year,average_percentage,percentile,percentile_range
1988-12-31,1.803,12,1988,-0.855,0.463,Normal range
1989-01-31,0.286,1,1989,-0.957,0.122,Low flow
1989-02-28,0.416,2,1989,-0.967,0.073,Low flow
1989-03-31,1.351,3,1989,-0.897,0.317,Normal range
1989-04-30,1.003,4,1989,-0.909,0.095,Low flow
1989-05-31,1.034,5,1989,-0.933,0.048,Low flow
1989-06-30,1.225,6,1989,-0.959,0.071,Low flow
1989-07-31,5.239,7,1989,-0.816,0.119,Low flow
1989-08-31,23.412,8,1989,-0.051,0.524,Normal range
1989-09-30,6.805,9,1989,-0.770,0.225,Below normal
1989-10-31,1.431,10,1989,-0.936,0.100,Low flow
1989-11-30,4.169,11,1989,-0.635,0.341,Normal range
1989-12-31,5.428,12,1989,-0.563,0.707,Normal range
1990-01-31,0.758,1,1990,-0.886,0.268,Below normal
1990-02-28,9.839,2,1990,-0.213,0.780,Above normal
1990-03-31,6.245,3,1990,-0.524,0.634,Normal range
1990-04-30,67.397,4,1990,5.088,0.952,High flow
1990-05-31,6.800,5,1990,-0.561,0.500,Normal range
1990-06-30,23.620,6,1990,-0.218,0.524,Normal range
1990-07-31,3.210,7,1990,-0.887,0.071,Low flow
1990-08-31,1.402,8,1990,-0.943,0.024,Low flow
1990-09-30,6.717,9,1990,-0.772,0.200,Below normal
1990-10-31,14.955,10,1990,-0.327,0.575,Normal range
1990-11-30,22.288,11,1990,0.954,0.854,Above normal
1990-12-31,8.879,12,1990,-0.286,0.829,Above normal
1991-01-31,0.902,1,1991,-0.864,0.341,Normal range
1991-02-28,0.713,2,1991,-0.943,0.122,Low flow
1991-03-31,0.407,3,1991,-0.969,0.073,Low flow
1991-04-30,1.213,4,1991,-0.890,0.167,Below normal
1991-05-31,6.493,5,1991,-0.581,0.452,Normal range
1991-06-30,28.673,6,1991,-0.050,0.619,Normal range
1991-07-31,49.102,7,1991,0.726,0.857,Above normal
1991-08-31,26.717,8,1991,0.083,0.643,Normal range
1991-09-30,30.504,9,1991,0.033,0.700,Normal range
1991-10-31,55.425,10,1991,1.494,0.850,Above normal
1991-11-30,7.680,11,1991,-0.327,0.463,Normal range
1991-12-31,3.645,12,1991,-0.707,0.561,Normal range
1992-01-31,1.992,1,1992,-0.700,0.561,Normal range
1992-02-29,1.552,2,1992,-0.876,0.341,Normal range
1992-03-31,1.392,3,1992,-0.894,0.341,Normal range
1992-04-30,7.635,4,1992,-0.310,0.643,Normal range
1992-05-31,22.646,5,1992,0.460,0.810,Above normal
1992-06-30,32.250,6,1992,0.068,0.690,Normal range
1992-07-31,27.268,7,1992,-0.041,0.619,Normal range
1992-08-31,13.147,8,1992,-0.467,0.310,Normal range
1992-09-30,16.863,9,1992,-0.429,0.550,Normal range
1992-10-31,15.025,10,1992,-0.324,0.600,Normal range
1992-11-30,9.700,11,1992,-0.150,0.585,Normal range
1992-12-31,1.433,12,1992,-0.885,0.317,Normal range
1993-01-31,1.524,1,1993,-0.771,0.463,Normal range
1993-02-28,20.711,2,1993,0.657,0.805,Above normal
1993-03-31,1.119,3,1993,-0.915,0.220,Below normal
1993-04-30,5.546,4,1993,-0.499,0.595,Normal range
1993-05-31,21.447,5,1993,0.383,0.786,Above normal
1993-06-30,17.704,6,1993,-0.414,0.429,Normal range
1993-07-31,15.574,7,1993,-0.452,0.238,Below normal
1993-08-31,30.596,8,1993,0.241,0.762,Above normal
1993-09-30,14.873,9,1993,-0.496,0.500,Normal range
1993-10-31,57.742,10,1993,1.599,0.875,High flow
1993-11-30,33.436,11,1993,1.931,0.902,High flow
1993-12-31,40.114,12,1993,2.228,0.927,High flow
