Codigo,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,40,41,42,43,44,45,50,51,52,53,54,55,56,57,58,60,61,62,63,64,65,66,67,68
Area,8222,2583,2152,9698,1631,3415,1714,8549,3729,3636,1519,1570,924,1849,1849,1376,798,1337,907,1493,2546,1479,2870,1970,4684,1222,5307,12117,3483,11398,6802,3492,5974,8842,5485,13720,3795,8647,5171,2570,667,724,145,3567,369,165,100
